algorithm,seed,stopped,T_stop,final_exact,final_regret,best_regret,final_cum_regret,n_checks,elapsed_seconds,target,arm
preflid,19,True,3786,True,0.0,0.0,23.2973400082109,632,0.22075291676446795,0.9,PrefLID-nocert
p2etg,0,False,40000,True,0.0,0.0,117.72504450156103,1667,1.340905541088432,0.7,P2ETG
p2etg,1,False,40000,True,0.0,0.0,202.72938239171253,1667,1.3537988751195371,0.7,P2ETG
p2etg,2,False,40000,True,0.0,0.0,171.68376600489893,1667,1.3490296662785113,0.7,P2ETG
p2etg,3,False,40000,True,0.0,0.0,16.776773415426216,1667,1.3871555421501398,0.7,P2ETG
p2etg,4,False,40000,True,0.0,0.0,180.2014971354484,1667,1.3462173328734934,0.7,P2ETG
p2etg,5,False,40000,True,0.0,0.0,165.34216527534622,1667,1.3665636251680553,0.7,P2ETG
p2etg,6,False,40000,True,0.0,0.0,623.5379194101909,1667,1.4209314580075443,0.7,P2ETG
p2etg,7,False,40000,True,0.0,0.0,439.2212427233842,1667,1.428024208638817,0.7,P2ETG
p2etg,8,False,40000,True,0.0,0.0,569.8996768356683,1667,1.409097082912922,0.7,P2ETG
p2etg,9,False,40000,True,0.0,0.0,105.15983545070063,1667,1.407913625240326,0.7,P2ETG
p2etg,10,True,21648,True,0.0,0.0,719.929765777354,903,0.7957133329473436,0.7,P2ETG
p2etg,11,False,40000,True,0.0,0.0,390.08246200312885,1667,1.3583045001141727,0.7,P2ETG
p2etg,12,False,40000,True,0.0,0.0,105.73915883503402,1667,1.3653563749976456,0.7,P2ETG
p2etg,13,False,40000,True,0.0,0.0,183.85267086372176,1667,1.4118228340521455,0.7,P2ETG
p2etg,14,False,40000,True,0.0,0.0,999.0216307134853,1667,1.3439860832877457,0.7,P2ETG
p2etg,15,False,40000,True,0.0,0.0,158.8179236857519,1667,1.3811204172670841,0.7,P2ETG
p2etg,16,False,40000,True,0.0,0.0,136.30432232879636,1667,1.3691543340682983,0.7,P2ETG
p2etg,17,False,40000,True,0.0,0.0,244.85043691349549,1667,1.3873682501725852,0.7,P2ETG
p2etg,18,False,40000,True,0.0,0.0,51.220937715533594,1667,1.3926954162307084,0.7,P2ETG
p2etg,19,False,40000,True,0.0,0.0,42.62879876974619,1667,1.3830028749071062,0.7,P2ETG
preflid,0,True,18456,True,0.0,0.0,64.90146861313764,3077,2.368245040997863,0.7,PrefLID-cert
preflid,1,True,11634,True,0.0,0.0,25.98937311214975,1940,2.4728419999592006,0.7,PrefLID-cert
preflid,2,True,4932,True,0.0,0.0,122.6061153660523,823,0.6180334999226034,0.7,PrefLID-cert
preflid,3,True,39876,True,0.0,0.0,23.908857803470035,6647,6.877135458867997,0.7,PrefLID-cert
preflid,4,True,21384,True,0.0,0.0,1210.2318553025368,3565,4.790047749876976,0.7,PrefLID-cert
preflid,5,True,3552,True,0.0,0.0,72.78598578632649,593,0.19780895812436938,0.7,PrefLID-cert
preflid,6,True,19902,True,0.0,0.0,1201.3208443660897,3318,5.6455280422233045,0.7,PrefLID-cert
preflid,7,True,14496,True,0.0,0.0,178.13050724954354,2417,2.230468083638698,0.7,PrefLID-cert
preflid,8,True,5526,True,0.0,0.0,149.89379166448703,922,0.4113470409065485,0.7,PrefLID-cert
preflid,9,True,5310,True,0.0,0.0,28.65924060079198,886,0.8805209998972714,0.7,PrefLID-cert
preflid,10,True,16806,True,0.0,0.0,17.73327853213359,2802,1.9894171669147909,0.7,PrefLID-cert
preflid,11,True,2502,True,0.0,0.0,233.59434541699378,418,0.12826583301648498,0.7,PrefLID-cert
preflid,12,True,8616,True,0.0,0.0,55.77204513406788,1437,1.6607768326066434,0.7,PrefLID-cert
preflid,13,True,10848,True,0.0,0.0,274.3975875370838,1809,1.375077625270933,0.7,PrefLID-cert
preflid,14,True,5634,True,0.0,0.0,173.76126657761276,940,0.4788635829463601,0.7,PrefLID-cert
preflid,15,True,6708,True,0.0,0.0,186.7411479094748,1119,0.321597957983613,0.7,PrefLID-cert
preflid,16,True,8592,True,0.0,0.0,123.99085154604487,1433,1.1771267498843372,0.7,PrefLID-cert
preflid,17,True,4872,True,0.0,0.0,148.4865942476495,813,0.48683541687205434,0.7,PrefLID-cert
preflid,18,True,6708,True,0.0,0.0,58.15796191169531,1119,0.31347762513905764,0.7,PrefLID-cert
preflid,19,True,6042,True,0.0,0.0,628.9887954829583,1008,0.7586122499778867,0.7,PrefLID-cert
preflid,0,True,19092,True,0.0,0.0,64.90146861313764,3183,0.7897411668673158,0.7,PrefLID-nocert
preflid,1,False,39996,True,0.0,0.0,25.98937311214975,6666,1.6620166660286486,0.7,PrefLID-nocert
preflid,2,False,39996,True,0.0,0.0,122.6061153660523,6666,1.7420472498051822,0.7,PrefLID-nocert
preflid,3,False,39996,True,0.0,0.0,23.908857803470035,6666,1.721260542050004,0.7,PrefLID-nocert
preflid,4,False,39996,True,0.0,0.0,1210.2318553025368,6666,1.667742125224322,0.7,PrefLID-nocert
preflid,5,False,39996,True,0.0,0.0,72.78598578632649,6666,1.6847710418514907,0.7,PrefLID-nocert
